Category,LCS Ratio (No Preprocessing),LCS Ratio (Light Preprocessing),LCS Ratio (Advanced Preprocessing),"LCS Ratio (By Sentence, Advanced Pre)",LCS Ratio (no stop words),"LCS Ratio (no stop words, advanced pre)","LCS Ratio (no stop words, light pre)","LCS Ratio (no stop words, alphabetical)"
non,0.16667,0.16667,0.17727,0.379,0.08929,0.1215,0.08929,0.125
cut,0.79126,0.79126,0.79426,0.96682,0.75962,0.78125,0.75962,0.77
light,0.74554,0.74554,0.79386,0.85965,0.67521,0.74312,0.67521,0.5913
heavy,0.26425,0.27979,0.29534,0.50259,0.22222,0.29348,0.25253,0.29293
non,0.21081,0.21081,0.21649,0.5051,0.15238,0.17347,0.15238,0.19444
non,0.14184,0.14184,0.15884,0.35018,0.05455,0.05298,0.05455,0.07692
non,0.264,0.264,0.28455,0.49796,0.14151,0.14433,0.15094,0.15842
cut,0.59344,0.59344,0.59935,0.82736,0.5731,0.5641,0.5731,0.57407
light,0.41981,0.41981,0.43868,0.75943,0.4,0.42268,0.4,0.36634
heavy,0.51931,0.51931,0.53648,0.76824,0.47244,0.5,0.47244,0.49612
heavy,0.35714,0.35714,0.38776,0.58974,0.31579,0.34091,0.31579,0.37113
non,0.23958,0.23958,0.27083,0.54167,0.09677,0.13953,0.09677,0.13333
non,0.19271,0.19271,0.21875,0.42708,0.12088,0.13415,0.12088,0.14286
cut,0.83333,0.83333,0.86667,0.98,0.77011,0.825,0.77011,0.80952
light,0.82119,0.82119,0.8543,0.90066,0.78571,0.84615,0.78571,0.82759
cut,0.74157,0.74157,0.79006,0.9558,0.68132,0.74699,0.68132,0.77528
light,0.725,0.725,0.75949,0.8375,0.65116,0.725,0.65116,0.69048
heavy,0.36628,0.36628,0.42529,0.78161,0.37209,0.38667,0.37209,0.4557
non,0.30303,0.30303,0.32353,0.38235,0.125,0.125,0.125,0.11765
non,0.25556,0.25556,0.26087,0.46739,0.16667,0.19565,0.16667,0.20408
light,0.99293,0.99293,0.99303,0.99306,0.98639,0.98529,0.98639,0.9589
heavy,0.75862,0.75862,0.7931,0.81818,0.65385,0.69388,0.65385,0.69811
non,0.32895,0.32895,0.32895,0.45455,0.27907,0.28571,0.27907,0.25
non,0.21538,0.21538,0.29231,0.47692,0.16216,0.22857,0.16216,0.24324
cut,1,1,1,1,1,1,1,1
non,0.16019,0.16019,0.18447,0.49029,0.12766,0.17442,0.12766,0.19355
